Facility Name,Location Type,Operator,Status,Open,Hours of Operation,Accessibility,Restroom Type,Changing Stations,Additional Notes,Website,Latitude,Longitude,Location
Pratt Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.692603,-73.962224,POINT (-73.962224 40.692603)
"Richmondtown Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm  
Wednesday: 10:00 am - 6:00 pm   
Thursday: 10:00 am - 6:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/richmondtown,40.566538,-74.138535,POINT (-74.138535 40.566538)
173rd St. Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.701859,-73.783513,POINT (-73.783513 40.701859)
Hoover - Manton Playgrounds,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.710523,-73.82011,POINT (-73.82011 40.710523)
Clove Lakes Park Zone 1,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.618249,-74.107209,POINT (-74.107209 40.618249)
Vinmont Veteran Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.902145,-73.904873,POINT (-73.904873 40.902145)
Coney Island Beach Zone 4b,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.573409,-73.975894,POINT (-73.975894 40.573409)
Battery Park Zone 2,Park,NYC Parks,Operational,Year Round,9am - 4:30pm,,,,,,40.701399,-74.015021,POINT (-74.015021 40.701399)
Willoughby Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.694489,-73.946688,POINT (-73.946688 40.694489)
Dr. Green Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.667373,-73.907384,POINT (-73.907384 40.667373)
John Golden Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.774094,-73.767742,POINT (-73.767742 40.774094)
Allerton Fields In Bronx Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.869533,-73.876611,POINT (-73.876611 40.869533)
"Crown Heights Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/crown-heights,40.661198,-73.948104,POINT (-73.948104 40.661198)
Wingate Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.659263,-73.944642,POINT (-73.944642 40.659263)
Soundview Park Zone 4,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.819083,-73.878307,POINT (-73.878307 40.819083)
Wards Meadow,Park,NYC Parks,Operational,Year Round,"Fall, spring summer: 7am - 9pm. Winter: 7am - 5:30pm",Fully Accessible,,,,,40.783076,-73.930757,POINT (-73.930757 40.783076)
Fox Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.815141,-73.898529,POINT (-73.898529 40.815141)
Breininger Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.726032,-73.728898,POINT (-73.728898 40.726032)
"Clinton Hill Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/clinton-hill,40.687387,-73.966032,POINT (-73.966032 40.687387)
Charybdis Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.779595,-73.92272,POINT (-73.92272 40.779595)
The Ramble,Park,Central Park Conservancy,Operational,Year Round,7:30am - dusk,Not Accessible,Multi-Stall W/M Restrooms,,,,40.775359,-73.968777,POINT (-73.968777 40.775359)
Greene Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.686372,-73.96584,POINT (-73.96584 40.686372)
Hallets Cove Playground (Area A),Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.771632,-73.934655,POINT (-73.934655 40.771632)
Jerome Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.658913,-73.879446,POINT (-73.879446 40.658913)
Annadale Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.731099,-73.851705,POINT (-73.851705 40.731099)
Dag Hammarskjold Food Kiosk,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.752076,-73.968158,POINT (-73.968158 40.752076)
"Gerritsen Beach Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/gerritsen-beach,40.591379,-73.923939,POINT (-73.923939 40.591379)
Agnes Haywood Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.880494,-73.861748,POINT (-73.861748 40.880494)
Bath Beach Park,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.602295,-74.011596,POINT (-74.011596 40.602295)
Prospect Park Lakeside Center,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.657069,-73.96418,POINT (-73.96418 40.657069)
"Harry Belafonte 115th Street Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/115th-street,40.802988,-73.953532,POINT (-73.953532 40.802988)
Twenty-Four Sycamores Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.759419,-73.958863,POINT (-73.958863 40.759419)
John J Carty Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.614496,-74.029411,POINT (-74.029411 40.614496)
Catbird Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.773579,-73.945039,POINT (-73.945039 40.773579)
Ella Fitzgerald Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.74473,-73.787536,POINT (-73.787536 40.74473)
Mosholu Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.872655,-73.882856,POINT (-73.882856 40.872655)
Central Park Chess & Checkers House,Park,Central Park Conservancy,Operational,Year Round,7:30am - dusk,Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.769114,-73.974619,POINT (-73.974619 40.769114)
"Cedar Lane Stables, Tudor Pk.",Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.670414,-73.852033,POINT (-73.852033 40.670414)
Coleman Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.710877,-73.993454,POINT (-73.993454 40.710877)
"Marcy Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/marcy,40.691631,-73.951285,POINT (-73.951285 40.691631)
"Rego Park Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/rego-park,40.727325,-73.864504,POINT (-73.864504 40.727325)
"New Lots Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/new-lots,40.665168,-73.886072,POINT (-73.886072 40.665168)
Douglaston Golf Course,Park,NYC Parks Concessionaire,Not Operational,Year Round,Concession Operating Hours,,,,,,40.752189,-73.732671,POINT (-73.732671 40.752189)
"Riverside Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,,,,https://www.nypl.org/locations/riverside,40.77424,-73.984514,POINT (-73.984514 40.77424)
"Laurelton Library, QPL",Library,QPL,Closed for Construction,Year Round,,,,,,https://www.queenslibrary.org/about-us/locations/laurelton,40.676961,-73.745675,POINT (-73.745675 40.676961)
Paerdegat Basin Marina 4,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.627064,-73.904208,POINT (-73.904208 40.627064)
Adventure Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.8368,-73.936612,POINT (-73.936612 40.8368)
"Windsor Park Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/windsor-park,40.734513,-73.755621,POINT (-73.755621 40.734513)
Brooklyn Bridge Park Zone 6,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,,,,,40.692928,-74.001669,POINT (-74.001669 40.692928)
Benson Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.602372,-74.002325,POINT (-74.002325 40.602372)
"Tremont Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/tremont,40.846054,-73.898351,POINT (-73.898351 40.846054)
Gertrude Ederle Recreation Center,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.771467,-73.988742,POINT (-73.988742 40.771467)
Pelham South Park Headquarters,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.851719,-73.824705,POINT (-73.824705 40.851719)
Franz Sigel Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.821366,-73.92599,POINT (-73.92599 40.821366)
Seaside Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.58072,-73.83051,POINT (-73.83051 40.58072)
Middle Long Meadow,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.665568,-73.971574,POINT (-73.971574 40.665568)
"Schomburg Center for Research in Black Culture, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 am - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 am - 6:00 pm 
Friday: 10:00 am - 6:00 pm  
Saturday: 10:00 am - 6:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,No,,https://www.nypl.org/locations/schomburg,40.814657,-73.940945,POINT (-73.940945 40.814657)
Emerald Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.730822,-73.806078,POINT (-73.806078 40.730822)
The High Line Zone 2,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.752578,-74.002128,POINT (-74.002128 40.752578)
Brigadier General Charles Young Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.819611,-73.936222,POINT (-73.936222 40.819611)
Woods Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.674839,-73.929227,POINT (-73.929227 40.674839)
Flynn Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.820925,-73.911881,POINT (-73.911881 40.820925)
Battery Park City Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.705234,-74.018395,POINT (-74.018395 40.705234)
Banneker Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.69069,-73.948793,POINT (-73.948793 40.69069)
Jacob H. Schiff Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.820365,-73.952109,POINT (-73.952109 40.820365)
Howard Von Dohlen Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.69965,-73.813089,POINT (-73.813089 40.69965)
South Beach Zone 3,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.579801,-74.075867,POINT (-74.075867 40.579801)
Heckscher Playground,Park,Central Park Conservancy,Operational,Year Round,7:30am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.768371,-73.977099,POINT (-73.977099 40.768371)
Yak Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.592456,-73.935791,POINT (-73.935791 40.592456)
Fmcp Heliport,Park,NYC Parks Concessionaire,Operational,Year Round,Concession Operating Hours,,,,,,40.74454,-73.850751,POINT (-73.850751 40.74454)
Fort Independence Playground,Park,NYC Parks,Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.881621,-73.895905,POINT (-73.895905 40.881621)
Dyker Beach Park Zone 1,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.605687,-74.01777,POINT (-74.01777 40.605687)
Coffey Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.677206,-74.008709,POINT (-74.008709 40.677206)
"Jefferson Market Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 8:00 pm 
Tuesday: 10:00 am - 8:00 pm
Wednesday: 10:00 am - 8:00 pm
Thursday: 10:00 am - 8:00 pm
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/jefferson-market,40.734643,-73.999171,POINT (-73.999171 40.734643)
Hudson River Park Pier 83,Park,Hudson River Park,Operational,Year Round,9:30am - 9:30pm,Fully Accessible,,,,,40.762739,-74.001471,POINT (-74.001471 40.762739)
Poe Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.865038,-73.894697,POINT (-73.894697 40.865038)
Castle Hill Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.839026,-73.852972,POINT (-73.852972 40.839026)
"Greenpoint Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/greenpoint,40.726036,-73.950696,POINT (-73.950696 40.726036)
Cunningham Park Zone 3,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.736644,-73.770656,POINT (-73.770656 40.736644)
Strawberry Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.709709,-73.955856,POINT (-73.955856 40.709709)
"South Beach Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm   
Wednesday: 11:00 am - 7:00 pm  
Thursday: 11:00 am - 7:00 pm    
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/south-beach,40.595811,-74.062982,POINT (-74.062982 40.595811)
Peters Field,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.706435,-73.774661,POINT (-73.774661 40.706435)
Leonardo Ingravallo Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.775968,-73.817167,POINT (-73.817167 40.775968)
875 Third Avenue POPS,Privately Owned Public Space,Boston Properties Inc.,Operational,Year Round,Monday to Saturday: 7:00 am-11:00 pm; Sunday & holidays: 11:00 am-7:00 pm,Fully Accessible,Multi-Stall W/M Restrooms,"""Yes, in women's restroom only""",,,40.757226,-73.969197,POINT (-73.969197 40.757226)
Sumner Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.697156,-73.94283,POINT (-73.94283 40.697156)
Rappaport Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.636784,-74.000795,POINT (-74.000795 40.636784)
Riverbank Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.825617,-73.953889,POINT (-73.953889 40.825617)
Ferry Point Park Zone 2,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.812005,-73.838561,POINT (-73.838561 40.812005)
Midland Field,Park,NYC Parks,Not Operational,,Closed during school hours,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.576592,-74.099486,POINT (-74.099486 40.576592)
"Jerome Park Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/jerome-park,40.869078,-73.901194,POINT (-73.901194 40.869078)
"West New Brighton Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 6:00 pm 
Tuesday: 11:00 am - 6:00 pm 
Wednesday: 11:00 am - 6:00 pm 
Thursday: 11:00 am - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/west-new-brighton,40.634517,-74.114823,POINT (-74.114823 40.634517)
Alley Springfield Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.741587,-73.748525,POINT (-73.748525 40.741587)
Wakefield Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.901858,-73.854766,POINT (-73.854766 40.901858)
Playground One Forty Nine CIL,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,,,,40.82591,-73.941282,POINT (-73.941282 40.82591)
Luna Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.576065,-73.978825,POINT (-73.978825 40.576065)
Ditmars Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,,,,40.771561,-73.907325,POINT (-73.907325 40.771561)
Big Bush Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.740247,-73.902657,POINT (-73.902657 40.740247)
"Harlem Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 11:00 am - 7:00 pm 
Tuesday: 11:00 am - 7:00 pm 
Wednesday: 11:00 am - 7:00 pm 
Thursday: 11:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/harlem,40.806169,-73.943317,POINT (-73.943317 40.806169)
"Brooklyn Heights Library, BPL",Library,BPL,Operational,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday 10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/brooklyn-heights,40.695691,-73.991349,POINT (-73.991349 40.695691)
Forest Park Tennis Courts,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.697171,-73.858126,POINT (-73.858126 40.697171)
College Point Blvd Soccer Fields,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.75101,-73.83382,POINT (-73.83382 40.75101)
60 Wall Street POPS,Privately Owned Public Space,Cushman & Wakefield Inc.,Closed for Construction,Year Round,Everyday 7:00 am-10:00 pm,,,,,,40.706249,-74.008506,POINT (-74.008506 40.706249)
Wolfe's Pond Park Zone 2,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",,,,,,40.517387,-74.190987,POINT (-74.190987 40.517387)
Sheltering Arms Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.81534,-73.956026,POINT (-73.956026 40.81534)
Pomonok Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.73616,-73.814097,POINT (-73.814097 40.73616)
Prall Playground,Park,NYC Parks,Not Operational,,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.628792,-74.117675,POINT (-74.117675 40.628792)
Jackson Pond Playground,Park,NYC Parks,Operational,Seasonal,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,,,,40.701114,-73.842982,POINT (-73.842982 40.701114)
"Battery Park City Library, NYPL",Library,NYPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 11:00 am - 7:00 pm  
Wednesday: 10:00 am - 6:00 pm   
Thursday: 11:00 am - 7:00 pm   
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/battery-park-city,40.715699,-74.01575,POINT (-74.01575 40.715699)
Conservatory Garden,Park,Central Park Conservancy,Operational,Year Round,8am - dusk,Fully Accessible,Multi-Stall W/M Restrooms,,,,40.794194,-73.952736,POINT (-73.952736 40.794194)
"St. Albans Library, QPL",Library,QPL,Operational,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/st.albans,40.692508,-73.760074,POINT (-73.760074 40.692508)
"Ryder Library, BPL",Library,BPL,Closed for Construction,Year Round,,,,,,https://www.bklynlibrary.org/locations/ryder,40.615888,-73.975968,POINT (-73.975968 40.615888)
Lindower Park Playground,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.612282,-73.911223,POINT (-73.911223 40.612282)
Washington Hall Park,Park,NYC Parks,Operational,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,,,,40.695418,-73.966614,POINT (-73.966614 40.695418)
